LOCATION,SUBJECT,TIME,Value
SVK,TRY,2018,82.641022
SVK,TRY,2019,83.84182
SVK,TRY,2020,82.723694
SVK,TRY,2021,87.933441
NLD,BUPPSRY,1990,49.316216
NLD,BUPPSRY,1991,50.212406
NLD,BUPPSRY,1992,50.884315
NLD,BUPPSRY,1994,51.279762
NLD,BUPPSRY,1995,52.101097
NLD,BUPPSRY,1998,55.323254
NLD,BUPPSRY,2000,57.559811
NLD,BUPPSRY,2001,58.823528
NLD,BUPPSRY,2002,60.720787
NLD,BUPPSRY,2003,59.367641
NLD,BUPPSRY,2004,59.393166
NLD,BUPPSRY,2005,59.522655
NLD,BUPPSRY,2006,60.575214
NLD,BUPPSRY,2007,61.925087
NLD,BUPPSRY,2008,63.663345
NLD,BUPPSRY,2009,63.551643
NLD,BUPPSRY,2010,61.14333
NLD,BUPPSRY,2011,61.978111
NLD,BUPPSRY,2012,62.122772
NLD,BUPPSRY,2013,60.723915
NLD,BUPPSRY,2014,58.752262
NLD,BUPPSRY,2015,59.960529
NLD,BUPPSRY,2016,60.713444
NLD,BUPPSRY,2017,61.267605
NLD,BUPPSRY,2018,62.589851
NLD,BUPPSRY,2019,63.329094
NLD,BUPPSRY,2020,63.122547
NLD,BUPPSRY,2021,66.43589
AUT,TRY,2004,81.182159
AUT,TRY,2005,82.9729
AUT,TRY,2006,84.034286
AUT,TRY,2007,85.274979
AUT,TRY,2008,85.311211
AUT,TRY,2009,85.076073
AUT,TRY,2010,84.857811
AUT,TRY,2011,85.419113
AUT,TRY,2012,86.004967
AUT,TRY,2013,85.748413
AUT,TRY,2014,85.321945
AUT,TRY,2015,85.35099
AUT,TRY,2016,86.212219
AUT,TRY,2017,86.44706
AUT,TRY,2018,86.282066
AUT,TRY,2019,86.463249
AUT,TRY,2020,86.016808
AUT,TRY,2021,86.185944
LUX,UPPSRY_NTRY,2000,73.170044
LUX,UPPSRY_NTRY,2005,71.744423
LUX,UPPSRY_NTRY,2006,73.382835
LUX,UPPSRY_NTRY,2007,73.94059
LUX,UPPSRY_NTRY,2008,70.749275
LUX,UPPSRY_NTRY,2009,70.174324
LUX,UPPSRY_NTRY,2010,72.126091
LUX,UPPSRY_NTRY,2011,70.37072
LUX,UPPSRY_NTRY,2012,71.86795
LUX,UPPSRY_NTRY,2013,70.771301
LUX,UPPSRY_NTRY,2014,72.129761
LUX,UPPSRY_NTRY,2015,71.802605
